Department,Category,Month,Year,Budgeted,Actual,Notes
Marketing,Advertising,January,2024,15000,16250,Super Bowl campaign
Marketing,Events,January,2024,8000,7350,Trade show expenses
Marketing,Digital Marketing,January,2024,12000,11875,SEM and social ads
Marketing,Content Creation,January,2024,5000,5120,Blog writers and designers
Marketing,Advertising,February,2024,10000,9750,Regular ad spend
Marketing,Events,February,2024,2500,3750,Unexpected industry mixer
Marketing,Digital Marketing,February,2024,12000,12100,SEM and social ads
Marketing,Content Creation,February,2024,5000,4850,Blog writers and designers
Marketing,Advertising,March,2024,10000,10250,Regular ad spend
Marketing,Events,March,2024,7500,8200,Annual conference
Marketing,Digital Marketing,March,2024,12000,11200,SEM and social ads
Marketing,Content Creation,March,2024,5000,5280,Blog writers and designers
Marketing,Advertising,April,2024,12000,11500,Regular ad spend
Marketing,Events,April,2024,3500,2950,Local networking event
Marketing,Digital Marketing,April,2024,12000,12750,Expanded social campaign
Marketing,Content Creation,April,2024,5000,5050,Blog writers and designers
Sales,Salaries,January,2024,85000,85000,Base salaries
Sales,Commissions,January,2024,25000,28750,Higher than expected sales
Sales,Travel,January,2024,12000,10250,Client visits
Sales,Software,January,2024,4500,4500,CRM subscription
Sales,Training,January,2024,7500,6800,New hire onboarding
Sales,Salaries,February,2024,85000,85000,Base salaries
Sales,Commissions,February,2024,22000,19500,Slower month
Sales,Travel,February,2024,12000,13250,Additional client meetings
Sales,Software,February,2024,4500,4500,CRM subscription
Sales,Training,February,2024,2500,2250,Regular training
Sales,Salaries,March,2024,87000,87000,Base salaries + new hire
Sales,Commissions,March,2024,26000,29500,End of quarter push
Sales,Travel,March,2024,15000,16250,Conference travel included
Sales,Software,March,2024,4500,4500,CRM subscription
Sales,Training,March,2024,2500,2500,Regular training
Sales,Salaries,April,2024,87000,87000,Base salaries
Sales,Commissions,April,2024,24000,22750,Average month
Sales,Travel,April,2024,12000,11800,Client visits
Sales,Software,April,2024,5500,5500,CRM subscription + new add-on
Sales,Training,April,2024,2500,2750,Additional workshop
Operations,Office Rent,January,2024,22000,22000,Main office
Operations,Utilities,January,2024,3500,3900,Higher heating costs
Operations,Insurance,January,2024,4500,4500,Property and liability
Operations,Office Supplies,January,2024,1200,1350,Regular supplies
Operations,Cleaning Services,January,2024,1800,1800,Twice weekly service
Operations,Office Rent,February,2024,22000,22000,Main office
Operations,Utilities,February,2024,3500,3750,Still higher heating
Operations,Insurance,February,2024,4500,4500,Property and liability
Operations,Office Supplies,February,2024,1200,950,Lower usage
Operations,Cleaning Services,February,2024,1800,1800,Twice weekly service
Operations,Office Rent,March,2024,22000,22000,Main office
Operations,Utilities,March,2024,3200,3150,Seasonal adjustment
Operations,Insurance,March,2024,4500,4500,Property and liability
